# Règles de l'IA V2 — Kemet (Liste exhaustive des règles candidates)

## Format
Chaque règle possède 3 colonnes :
  - **Règle** : condition d'application
  - **Décision** : action ou choix favorisé si la règle est valide
  - **Poids** : valeur ajoutée au poids de base (1) du candidat correspondant

Ce fichier est une liste exhaustive de TOUTES les règles envisageables pour chaque décision.
Il sert de référence pour remplir Rules_IA.txt avec les règles retenues.
Les poids indiqués sont des suggestions à calibrer.

---

## PHASE SETUP

### Choisir couleur de pyramide
| Règle                                                              | Décision       | Poids |
|--------------------------------------------------------------------|----------------|-------|
| Couleur non encore prise par un adversaire                         | Choisir couleur |  +30  |
| Couleur Rouge : je veux jouer agressif (créatures)                 | Rouge          |  +40  |
| Couleur Blanc : je veux grossir mon armée (unités bonus)           | Blanc          |  +30  |
| Couleur Bleue : je veux des bonus de déplacement                   | Bleu           |  +25  |
| Couleur Noire : je veux du contrôle et des effets spéciaux         | Noir           |  +25  |
| Adversaire a déjà cette couleur (concurrence sur les tuiles)       | Autre couleur  |  +20  |
| Couleur avec les meilleures tuiles de combat disponibles           | Choisir couleur |  +35  |
| Couleur dont je n'ai aucune pyramide (diversifier)                 | Choisir couleur |  +20  |

### Choisir niveau initial de pyramide
| Règle                                                              | Décision       | Poids |
|--------------------------------------------------------------------|----------------|-------|
| Ank suffisant pour niveau 2 (>= 2 ank restants après)             | Niveau 2       |  +40  |
| Niveau 2 = accès aux tuiles niveau 2 dès le début                 | Niveau 2       |  +30  |
| Ank < 5 après coût : préférer niveau 1                             | Niveau 1       |  +30  |
| Adversaire prévu agressif : investir en ank plutôt qu'en niveaux  | Niveau 1       |  +20  |

### Placer les unités initiales
| Règle                                                              | Décision            | Poids |
|--------------------------------------------------------------------|---------------------|-------|
| Concentrer toutes les unités dans 1 zone cité                      | Zone unique         |  +20  |
| Temple adjacent à ma cité : mettre unités côté du temple           | Zone proche temple  |  +40  |
| Spread sur 2 zones : flexibilité de déplacement                    | 2 zones réparties   |  +15  |
| Cité avec 3 zones : placer 1 unité par zone (contrôle cité)        | Répartition égale   |  +10  |
| Prendre un temple dès le tour 1 : concentrer vers le temple        | Zone vers temple    |  +35  |

---

## PHASE DRAFT

### Choisir une tuile pouvoir
| Règle                                                              | Décision      | Poids |
|--------------------------------------------------------------------|---------------|-------|
| Tuile de type créature disponible                                  | Prendre       |  +40  |
| Tuile donne VP immédiat (Point Majeur)                             | Prendre       |  +50  |
| Tuile complète ma couleur de pyramide la plus haute                | Prendre       |  +35  |
| Tuile de niveau 3 disponible et j'ai la pyramide correspondante    | Prendre       |  +30  |
| Tuile donne bonus de combat (force, bouclier)                      | Prendre       |  +35  |
| Tuile donne bonus de déplacement ou téléportation                  | Prendre       |  +25  |
| Adversaire sur le point de prendre cette tuile                     | Prendre       |  +20  |
| Je n'ai aucune tuile de cette couleur                              | Prendre       |  +15  |
| Tuile avec effet "recrutement gratuit" ou "augmentation pyramide"  | Prendre       |  +30  |
| Tuile de type Ta-Seti si je suis avancé sur Ta-Seti                | Prendre       |  +25  |

---

## ACTIONS (Tour)

### ACTION : Prière — Niveau 2 ou 3
| Règle                                                              | Décision  | Poids |
|--------------------------------------------------------------------|-----------|-------|
| Ank <= 2 : urgence maximale                                        | Prier niv2 |  +70  |
| Ank <= 5 : besoin d'ank pour les prochaines actions                | Prier niv2 |  +40  |
| Ank >= 7 : peut se permettre d'aller à 3                           | Prier niv3 |  +30  |
| Tuile "Prière +1 ank" possédée                                     | Prier niv3 |  +20  |
| Tuile "+1 ank en journée" possédée                                 | Prier niv2 |  +15  |
| Achat de tuile prévu ce tour (coût >= 3)                           | Prier niv3 |  +25  |
| Évolution de pyramide prévue ce tour                               | Prier niv3 |  +20  |
| Ank déjà au maximum (11) : prière inutile                          | Ne pas prier | +100 |

### ACTION : Achat — Choisir couleur
| Règle                                                              | Décision        | Poids |
|--------------------------------------------------------------------|-----------------|-------|
| Couleur dont j'ai la pyramide la plus haute                        | Choisir couleur  |  +40  |
| Couleur avec tuiles créature disponibles non possédées             | Choisir couleur  |  +35  |
| Couleur avec tuiles VP disponibles                                 | Choisir couleur  |  +30  |
| Je n'ai aucune tuile de cette couleur                              | Choisir couleur  |  +25  |
| Adversaire n'a pas la pyramide de cette couleur (exclusivité)      | Choisir couleur  |  +15  |
| Couleur avec la tuile la moins chère que je peux m'offrir          | Choisir couleur  |  +20  |

### ACTION : Achat — Choisir tuile spécifique
| Règle                                                              | Décision  | Poids |
|--------------------------------------------------------------------|-----------|-------|
| Tuile de type créature                                             | Acheter   |  +40  |
| Tuile donne VP immédiat                                            | Acheter   |  +50  |
| Tuile donne bonus de force en combat                               | Acheter   |  +35  |
| Tuile donne bonus de déplacement (points sup, téléportation)       | Acheter   |  +25  |
| Tuile "Augmentation pyramide" et j'ai une pyramide améliorable     | Acheter   |  +30  |
| Tuile donne recrutement gratuit et réserve > 0                     | Acheter   |  +25  |
| Tuile de niveau == niveau de ma pyramide de cette couleur          | Acheter   |  +10  |
| Je possède < 2 tuiles au total                                     | Acheter   |  +20  |
| Tuile complète un combo avec tuile déjà possédée                   | Acheter   |  +30  |
| Tuile donne bouclier ou protection                                 | Acheter   |  +20  |
| Tuile de niveau 3                                                  | Acheter   |  +30  |
| Coût <= ank - 2 (ne pas se vider)                                  | Acheter   |  +15  |

### ACTION : Déplacement — Niveau 1 ou 2
| Règle                                                              | Décision    | Poids |
|--------------------------------------------------------------------|-------------|-------|
| Temple cible à 1 zone de distance                                  | Niveau 1    |  +40  |
| Temple cible à 2 zones de distance                                 | Niveau 2    |  +60  |
| Cible (temple/troupe) à 2 zones                                    | Niveau 2    |  +50  |
| Veux conserver un jeton (préférer niveau 1 si suffisant)           | Niveau 1    |  +20  |
| Attaque prévue à 2 zones                                           | Niveau 2    |  +40  |
| Regroupement : cible à 1 zone                                      | Niveau 1    |  +30  |

### ACTION : Déplacement — Choisir zone SOURCE
| Règle                                                              | Décision         | Poids |
|--------------------------------------------------------------------|------------------|-------|
| Zone avec le plus d'unités disponibles                             | Choisir zone     |  +20  |
| Zone adjacent à un temple vide                                     | Choisir zone     |  +40  |
| Zone adjacent à une troupe ennemie (ratio favorable)               | Choisir zone     |  +35  |
| Zone non menacée par les adversaires                               | Choisir zone     |  +15  |
| Zone centrale permettant plusieurs directions                       | Choisir zone     |  +10  |
| Cité propre sécurisée (unités superflues à déplacer)               | Choisir zone     |  +10  |
| Zone avec mes unités les plus avancées sur le plateau              | Choisir zone     |  +25  |

### ACTION : Déplacement — Choisir zone CIBLE
| Règle                                                              | Décision     | Poids |
|--------------------------------------------------------------------|--------------|-------|
